,titluCarte,Bag_of_words
0,caring for older cats and dogs: extending your pet's healthy life,robertanderson idealspubns ['technology&engineering' 'general'] describ health problem older pet discuss nutrit home environ train pollut special therapi euthanasia
1,scandalous,rondathompson leisurebooks ['fiction' 'romance' 'contemporary'] wonder stranger appear doorstop lack memori tri outrun someon kill conserv woman risk scandal protect pursu relationship origin
2,great books,daviddenby simon&amp;schuster ['history' 'general'] great book denbi live common adult fantasi return school worldli knowledg experi life gift storytel lead us gloriou tour turn eloqu witti move work experi middleag man among freshmen recount failur triumph reader student take exam led hilari nearbreakdown celebr rediscoveri new appreci author homer plato biblic writer augustin boccaccio hegel austen marx nietzsch virginia woolf recreat atmospher classroom strategi use remark group teacher strength weak mediaag student grappl difficult sometim frighten year long watch grow memori break hide
3,"his needs, her needs",willardf.harleyjr. bakerbookhouseco ['religion' 'general'] describ ten thing men women look marriag explain need differ tell avoid problem break
4,time cat,lloydalexander yearlingbooks ['juvenilefiction' 'animals' 'cats'] aid cat gareth young boy name jason journey back time togeth experi nine wonder magic adventur
5,reunion in death,j.d.robb berkleypublishinggroup ['fiction' 'romance' 'contemporary'] birthday bash set scene frighten reunion killer eve dallass past novel new york time bestsel death seriesat exactli pm walter pettibon arriv home hundr friend famili shout surpris although known plan event week real yet come woman emerald eye red hair hand glass champagn one sip bubbl deadno parti knew detect dalla rememb well person respons julianna dunn incarcer nearli ten year ago let good behavior still noth bad intent appear want meet againin neither forget
6,leyla: the black tulip (girls of many lands),alevlytlecroutier americangirl ['juvenilefiction' 'historical' 'general'] tri help financi destitut famili twelveyearold leyla end slave ship bound istanbul beauti topkapi palac discov life shelter world harem follow rigid rule rhythm offer unexpect opportun turkey brief tulip period
7,the portrait of a lady (penguin classics),henryjames penguinbooks ['fiction' 'general'] follow stori american heiress isabel visit europ find destini pursu suitor ultim must make tragic choic
8,tess of the d'urbervilles: a pure woman (modern library classics),thomashardy modernlibrary ['fiction' 'classics'] etch background die rural societi tess durbervil thoma hardi bestsel durbeyfield remain strike tragic heroin charact creat meant hopelessli torn two menalec durbervil wealthi dissolut young man seduc lone wood angel clare provinci moralist unforgiv husbandtess escap vise passion horribl desper act like greatest literatur live beyond final page book perman citizen imagin said irv howe stake everyth sensuou apprehens woman life girl simpl milkmaid archetyp feminin strength rare creatur good made interest brought televis magnific new coproduct ae network london weekend justin waddel anna karenina star oliv milburn chandler co jason flemyng alec cast also includ john mceneri black beauti jack lesley dunlop eleph joan direct ian sharp produc sarah wilson screenplay ted whitehead film hardi countri beauti english countrysid dorset set novel
9,emma (penguin classics),janeausten penguinbooks ['fiction' 'general'] jane austen depict rich beauti heiress whose matchmak scheme caus mani complic
10,spiral (john francis cuddy mystery),jeremiahhealy atria ['fiction' 'mystery&detective' 'policeprocedural'] creator excit thought wili fiction washington post jeremiah heali critic rave john franci cuddi novel superior seri new york time book review push envelop mysteri write soulsearch tale plung privat nightmar mysteri answer like airplan fall sky woman love onboard flight unfathom tragedi strike boston investig begin griev there reveng perp cure except time jar call help old vietnamera comrad luxuri cant afford goe find fort lauderdal rival proud vet brought stroke search granddaught killer girl found dead colonel nicola helid heavili guard mansion intracoast waterway thirteen year far innoc veronica hardli protect famili wealth use father reviv music career fortun band name spiral mold sexual provoc rock starlet someon drown grandfath birthday parti murder mere last crime commit pick apart cast player life granddaught everyon call younger depress son former groupi mysteri spiritu advisor marri money licens would buy see worst human natur heart broken two enough kill precoci victim may isol act first appear power mesmer novel uncontrol rage loyalti among famili friend isnt tri catch he stop freefal ultim dark
11,waiting for the weekend,witoldrybczynski penguinusa ['socialscience' 'sociology' 'general'] discuss origin week observ sabbath develop weekend describ behavior examin modern preoccup leisur time
12,the courage to write: how writers transcend fear,ralphkeyes henryholt&amp;company ['reference' 'writingskills'] katherin ann porter call courag first essenti writer eb white said admir anyon gut write anyth ralph key assur us anxieti felt writer everi level especi dare best describ sequenc point must pass challeng identifi worthwhil project mixtur pride panic feel examin newli publish book articl also offer specif root dread public perform judgment famili friend make use workshop confer handl critic work progress throughout includ comment mani accomplish transcend fear produc great invalu read wish learn well
13,a handbook to literature,c.hughholman colliermacmillan ['literarycriticism' 'reference'] definit contemporari refer literatur literari critic english handbook provid alphabet list import term fact linguist rhetor print booksel inform technolog cover wide rang center extend area film radio tv theori music graphic art classic studi comput scienc anyon interest
14,inventing al gore: a biography,billturque houghtonmifflinco ['politicalscience' 'general'] al gore angri opposit vietnam war submit draft happen made sullen bitter renounc polit set back track map claim fals invent internet close alli tobacco industri real natur partnership bill clinton alter lewinski affair invent address issu unveil true motiv ideal idiosyncraci one washington inscrut men turqu cover gore vice presidenti campaign white hous draw extens access key advis friend famili unmask man privat sing danc georg strait music public measur everi comment gestur legendari caution detail great polit albatross lack empathi hatch lone childhood product ambiti parent groom presid turqu keen analysi also uncov genesi question fundrais platform laden worthi emot safe plank bioethic global warm addit illumin person tragedi shape life remark influenc women mother naomi wolf career reveal intellig idealist washington yet repeatedli prone prevar exagger avoid hard offer meticul research narr fill color insight sharpen debat whether outgrow limit excel offic prepar
15,coyote,lindabarnes dell ['fiction' 'mystery&detective' 'general'] visit mysteri hispan woman request aid discov miss green card embroil boston privat detect carlotta carlyl danger world illeg alien coyot prey murder
16,michael jackson: the magic and the madness,j.randytaraborrelli birchlanepress ['music' 'general'] biographi michael jackson paint portrait charismat man talent perform genuin eccentr live life seclus guard privaci jealous
17,leadership 101: what every leader needs to know,johnc.maxwell nelsonbooks ['business&economics' 'leadership'] unleash leadership potentialno matter leadand lead wellthat messag new york time bestsel author john c maxwel give powerpack guidebook consumm leader offer succinct inspir framework enhanc abil alreadi possess learn tofollow vision bring other youproduc last legacygrow loyalti followersmak continu invest qualiti leadershipincreas abil influenc othersdetermin lidempow mentoringcr foundat trustus selfdisciplin improv characterand resultson key success appli concept made leader strong here opportun
18,war,gwynnedyer randomhousevaluepub ['history' 'military' 'general'] trace histori warfar ancient time present analyz war part societi
